Rank	Player	G	REC	YDS	Y/R	YBC	YBC/R	AIR	AIR/R	YAC	YAC/R	YACON	YACON/R	BRKTKL	TGT	% TM	CATCHABLE	DROP	RZ TGT	10+ YDS	20+ YDS	30+ YDS	40+ YDS	50+ YDS	LNG
37	AJ Barner (SEA)	12	21	180	8.6	66	3.1	92	4.4	114	5.4	36	1.7	1	27	6.5%	23	2	4	8	1	0	0	0	20
38	Dawson Knox (BUF)	12	16	238	14.9	166	10.4	248	15.5	72	4.5	24	1.5	0	24	7.0%	17	1	2	8	6	2	0	0	39
39	Jordan Akins (CLE)	12	23	229	10.0	146	6.3	204	8.9	83	3.6	26	1.1	1	35	7.6%	24	2	4	10	2	0	0	0	21
40	Elijah Higgins (ARI)	12	17	144	8.5	77	4.5	86	5.1	67	3.9	24	1.4	1	19	5.5%	18	1	3	6	1	0	0	0	23
41	Luke Schoonmaker (DAL)	12	22	200	9.1	125	5.7	179	8.1	75	3.4	26	1.2	0	31	6.6%	22	0	1	7	3	0	0	0	24
42	Johnny Mundt (MIN)	12	18	135	7.5	57	3.2	113	6.3	78	4.3	12	0.7	1	25	7.4%	20	2	5	5	1	0	0	0	20
43	T.J. Hockenson (MIN)	5	23	254	11.0	177	7.7	238	10.3	77	3.3	17	0.7	0	31	9.2%	24	1	4	8	4	1	0	0	34
44	Darnell Washington (PIT)	12	18	192	10.7	69	3.8	98	5.4	123	6.8	51	2.8	2	23	7.1%	18	0	2	8	3	0	0	0	29
45	Brock Wright (DET)	12	13	100	7.7	25	1.9	56	4.3	75	5.8	17	1.3	1	15	4.5%	13	0	5	5	0	0	0	0	16
46	Adam Trautman (DEN)	13	9	158	17.6	68	7.6	88	9.8	90	10.0	3	0.3	0	16	3.8%	10	1	3	7	2	2	0	0	37
47	Grant Calcaterra (PHI)	12	17	216	12.7	100	5.9	140	8.2	116	6.8	10	0.6	0	20	7.0%	17	0	0	9	4	1	0	0	34
48	Nick Vannett (TEN)	12	12	90	7.5	22	1.8	20	1.7	68	5.7	15	1.3	0	15	4.3%	12	0	3	2	1	0	0	0	24
49	Charlie Kolar (BAL)	12	9	131	14.6	55	6.1	69	7.7	76	8.4	5	0.6	0	11	3.0%	9	0	1	3	2	2	1	1	55
50	Mo Alie-Cox (IND)	13	11	132	12.0	92	8.4	161	14.6	40	3.6	13	1.2	0	18	4.9%	12	1	5	6	2	0	0	0	22
51	Cade Stover (HOU)	13	14	132	9.4	41	2.9	104	7.4	91	6.5	34	2.4	2	20	4.7%	15	1	3	7	1	0	0	0	27
52	Nate Adkins (DEN)	13	7	50	7.1	27	3.9	50	7.1	23	3.3	0	0.0	0	8	1.9%	7	0	2	2	0	0	0	0	16
53	Erick All Jr. (CIN)	9	20	158	7.9	71	3.6	74	3.7	87	4.4	22	1.1	1	22	5.2%	21	1	1	5	1	0	0	0	28
54	Tanner Hudson (CIN)	8	16	115	7.2	44	2.8	85	5.3	71	4.4	22	1.4	0	20	4.7%	17	1	3	4	0	0	0	0	13
55	Josh Whyle (TEN)	12	16	151	9.4	58	3.6	125	7.8	93	5.8	26	1.6	1	22	6.3%	16	1	2	7	2	1	0	0	33
56	Drew Ogletree (IND)	13	8	88	11.0	47	5.9	117	14.6	41	5.1	12	1.5	0	12	3.3%	9	1	3	4	2	0	0	0	22
57	Tommy Tremble (CAR)	7	15	154	10.3	77	5.1	131	8.7	77	5.1	30	2.0	0	22	5.8%	16	1	1	5	2	1	0	0	38
58	Lucas Krull (DEN)	9	13	120	9.2	75	5.8	108	8.3	45	3.5	15	1.2	1	17	4.1%	13	0	0	6	1	0	0	0	23
59	Drew Sample (CIN)	12	11	59	5.4	21	1.9	27	2.5	38	3.5	10	0.9	0	13	3.0%	11	0	1	1	0	0	0	0	12
60	Blake Whiteheart (CLE)	6	4	42	10.5	38	9.5	45	11.3	4	1.0	0	0.0	0	5	1.1%	4	0	2	1	1	0	0	0	29
61	Kylen Granson (IND)	13	7	94	13.4	53	7.6	257	36.7	41	5.9	5	0.7	0	19	5.1%	8	1	2	3	2	1	1	0	40
62	Connor Heyward (PIT)	12	4	29	7.3	22	5.5	56	14.0	7	1.8	0	0.0	0	6	1.8%	6	2	1	1	0	0	0	0	16
63	Kenny Yeboah (NYJ)	4	3	27	9.0	0	0.0	0	0.0	27	9.0	1	0.3	0	3	0.7%	3	0	1	2	0	0	0	0	12
64	Harrison Bryant (LV)	8	9	86	9.6	15	1.7	41	4.6	71	7.9	21	2.3	2	12	2.9%	9	0	0	4	0	0	0	0	18
65	Julian Hill (MIA)	11	11	86	7.8	36	3.3	114	10.4	50	4.5	20	1.8	2	17	4.3%	13	2	5	4	0	0	0	0	17
66	Brevyn Spann-Ford (DAL)	12	8	86	10.8	34	4.3	81	10.1	52	6.5	9	1.1	0	13	2.8%	8	0	2	4	0	0	0	0	18
67	Ben Sinnott (WAS)	13	4	21	5.3	6	1.5	6	1.5	15	3.8	5	1.3	0	4	1.1%	4	0	1	1	0	0	0	0	12
68	Jeremy Ruckert (NYJ)	12	14	76	5.4	13	0.9	52	3.7	63	4.5	17	1.2	0	20	4.8%	15	1	3	3	0	0	0	0	12
