Rank    Player  G   COMP    ATT PCT YDS Y/A AIR AIR/A   10+ YDS 20+ YDS 30+ YDS 40+ YDS 50+ YDS PKT TIME    SACK    KNCK    HRRY    BLITZ   POOR    DROP    RZ ATT  RTG
1,Lamar Jackson (BAL),13,254,379,67%,3290,8.7,1828,4.8,137,44,14,11,5,2.5,19,22,43,121,55,21,52,118
45	Marcus Mariota (WAS)	2	19	26	73%	203	7.8	164	6.3	10	2	0	0	0	2.7	1	1	2	9	2	2	4	88
46	Drew Lock (NYG)	3	25	41	61%	187	4.6	94	2.3	8	0	0	0	0	2.3	7	7	0	4	6	3	0	64
47	Jake Haener (NO)	6	14	29	48%	177	6.1	124	4.3	8	2	1	0	0	2.2	2	6	1	11	5	4	5	50
48	Tommy DeVito (NYG)	1	21	31	68%	189	6.1	110	3.5	9	2	0	0	0	2.4	4	4	0	9	4	1	3	84
49	Brandon Allen (SF)	2	17	29	59%	199	6.9	91	3.1	7	5	1	0	0	2.4	2	2	3	6	4	4	4	38
50	Skylar Thompson (MIA)	3	21	33	64%	187	5.7	115	3.5	8	1	0	0	0	2.3	6	6	2	7	6	2	8	52
51	Tim Boyle (NYG)	2	15	26	58%	153	5.9	76	2.9	8	1	1	0	0	2.0	1	3	1	0	4	2	4	75
52	Tyrod Taylor (NYJ)	1	6	8	75%	36	4.5	16	2.0	0	0	0	0	0	2.1	0	1	1	1	1	0	3	123
53	Desmond Ridder (LV)	2	16	26	62%	138	5.3	87	3.3	6	2	0	0	0	2.0	6	4	3	9	6	1	2	85
54	Dorian Thompson-Robinson (CLE)	3	11	25	44%	82	3.3	46	1.8	1	0	0	0	0	2.2	1	6	3	8	3	1	1	20
55	Davis Mills (HOU)	2	7	13	54%	79	6.1	43	3.3	3	1	0	0	0	1.9	1	1	1	9	2	1	4	59
56	Hendon Hooker (DET)	3	6	9	67%	62	6.9	36	4.0	2	1	0	0	0	2.2	1	0	2	1	1	1	0	86
57	Nick Mullens (MIN)	3	2	2	100%	38	19.0	24	12.0	2	1	0	0	0	2.2	0	1	0	0	0	0	0	79
58	Michael Penix Jr. (ATL)	2	3	5	60%	38	7.6	23	4.6	2	1	0	0	0	2.4	1	1	0	1	2	0	0	94
59	Trey Lance (DAL)	2	4	6	67%	21	3.5	13	2.2	1	0	0	0	0	2.5	2	1	1	2	1	0	0	16
60	Taylor Heinicke (LAC)	1	2	2	100%	24	12.0	16	8.0	1	0	0	0	0	2.3	3	0	0	0	0	0	0	117
61	Kyle Allen (PIT)	1	1	1	100%	19	19.0	13	13.0	1	0	0	0	0	2.1	0	0	0	1	0	0	0	119
62	Josh Johnson (BAL)	3	1	1	100%	1	1.0	0	0.0	0	0	0	0	0	2.6	0	1	0	0	0	0	0	26
63	Kenny Pickett (PHI)	3	1	3	33%	5	1.7	5	1.7	0	0	0	0	0	2.3	1	2	0	2	2	0	0	32
64	Jake Luton (FA)	1	0	0	0%	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
65	Carson Wentz (KC)	1	0	0	0%	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
66	Feleipe Franks (CAR)	10	0	0	0%	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
67	C.J. Beathard (JAC)	1	0	0	0%	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
68	Trevor Siemian (TEN)	1	0	0	0%	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
69	Joshua Dobbs (SF)	1	0	0	0%	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
70	Austin Reed (CHI)	1	0	0	0%	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
71	Jaren Hall (SEA)	1	0	0	0%	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
72	Jordan Travis (NYJ)	1	0	0	0%	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
73	Kyle Trask (TB)	2	1	1	100%	5	5.0	0	0.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	44
74	Sam Howell (SEA)	2	0	0	0%	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
75	Jeff Driskel (WAS)	2	0	0	0%	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
76	Sam Hartman (WAS)	2	0	0	0%	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
77	Jake Browning (CIN)	2	0	0	0%	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
78	Jarrett Stidham (DEN)	2	0	0	0%	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
79	Mitchell Trubisky (BUF)	7	3	4	75%	9	2.3	4	1.0	0	0	0	0	0	1.8	0	0	0	2	1	0	0	31
80	Tyson Bagent (CHI)	2	0	0	0%	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
81	Clayton Tune (ARI)	4	0	0	0%	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
