Rank,Player,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
43,Antonio Gibson (NE),13,79,373,4.7,148,1.9,225,2.8,8,7,-10,11,10,2,1,1,0,45,15,18,1,14
44,Jaleel McLaughlin (DEN),13,80,367,4.6,229,2.9,138,1.7,6,9,-23,1,11,1,0,0,0,21,17,20,3,14
45,Jaylen Warren (PIT),10,78,312,4.0,191,2.4,121,1.6,4,8,-12,3,8,0,0,0,0,18,25,29,4,61
46,Jerome Ford (CLE),10,70,339,4.8,171,2.4,168,2.4,5,4,-8,2,10,3,2,0,0,36,27,32,0,56
47,Braelon Allen (NYJ),12,67,240,3.6,93,1.4,147,2.2,3,5,-7,20,4,1,0,0,0,20,12,18,1,30
48,Nick Chubb (CLE),6,82,243,3.0,124,1.5,119,1.5,4,10,-12,2,4,0,0,0,0,15,5,9,1,4
49,Cam Akers (MIN),11,76,297,3.9,165,2.2,132,1.7,3,11,-25,15,11,0,0,0,0,18,10,13,2,10
50,Emanuel Wilson (GB),12,68,332,4.9,175,2.6,157,2.3,7,4,-8,2,9,0,0,0,0,19,9,12,2,35
51,Jeremy McNichols (WAS),13,50,249,5.0,96,1.9,153,3.1,6,4,-10,27,6,2,0,0,0,28,2,3,1,1
52,Sean Tucker (TB),12,30,189,6.3,135,4.5,54,1.8,0,1,-1,5,7,1,1,0,0,36,8,9,0,32
53,Ameer Abdullah (LV),12,35,149,4.3,97,2.8,52,1.5,1,2,-5,3,3,1,1,1,0,40,24,28,3,36
54,Raheem Mostert (MIA),9,65,236,3.6,123,1.9,113,1.7,1,8,-16,6,8,0,0,0,0,18,12,16,1,22
55,Ty Johnson (BUF),12,27,145,5.4,84,3.1,61,2.3,0,5,-7,3,5,0,0,0,0,19,9,13,5,20
56,Samaje Perine (KC),12,15,68,4.5,38,2.5,30,2.0,0,0,0,2,2,0,0,0,0,13,20,26,3,56
57,Emari Demercado (ARI),12,24,223,9.3,86,3.6,137,5.7,3,1,-1,53,6,2,2,2,1,53,12,16,3,6
58,Trey Benson (ARI),11,56,254,4.5,147,2.6,107,1.9,4,4,-6,1,9,1,0,0,0,20,5,5,0,16
59,Isaac Guerendo (SF),12,42,246,5.9,97,2.3,149,3.5,2,3,-3,15,5,1,1,1,1,76,5,6,0,5
60,Ezekiel Elliott (DAL),11,59,189,3.2,105,1.8,84,1.4,1,5,-8,3,1,0,0,0,0,11,10,13,2,19
61,Kenneth Gainwell (PHI),12,47,219,4.7,129,2.7,90,1.9,2,2,-2,13,10,0,0,0,0,19,7,11,0,17
62,Christian McCaffrey (SF),4,50,202,4.0,116,2.3,86,1.7,3,5,-11,0,6,0,0,0,0,19,15,19,4,29
63,Trey Sermon (IND),13,47,131,2.8,67,1.4,64,1.4,1,7,-18,1,4,0,0,0,0,17,12,13,2,15
64,Tyjae Spears (TEN),8,44,164,3.7,71,1.6,93,2.1,6,6,-11,7,4,0,0,0,0,19,17,18,0,52
65,Tyler Goodson (IND),12,27,128,4.7,82,3.0,46,1.7,0,3,-3,7,3,1,1,0,0,33,10,13,2,24
66,Gus Edwards (LAC),8,69,238,3.4,91,1.3,147,2.1,6,3,-10,1,4,0,0,0,0,12,2,3,0,1
67,Isiah Pacheco (KC),3,41,179,4.4,119,2.9,60,1.5,0,1,-5,1,3,1,1,0,0,34,8,9,1,11
68,Miles Sanders (CAR),10,38,139,3.7,80,2.1,59,1.6,2,5,-12,1,2,1,0,0,0,26,21,26,2,22
69,Dare Ogunbowale (HOU),13,25,68,2.7,30,1.2,38,1.5,1,5,-6,0,1,0,0,0,0,11,16,22,4,21
70,Zamir White (LV),8,65,183,2.8,93,1.4,90,1.4,4,4,-12,1,2,0,0,0,0,17,6,8,0,17
71,Jaylen Wright (MIA),11,59,243,4.1,129,2.2,114,1.9,3,12,-24,0,8,1,0,0,0,20,1,3,0,0
72,Ty Chandler (MIN),11,50,171,3.4,124,2.5,47,0.9,0,4,-7,0,3,1,0,0,0,25,6,6,1,6
73,Jamaal Williams (NO),9,32,124,3.9,66,2.1,58,1.8,0,5,-9,14,3,0,0,0,0,14,5,7,1,8
74,Chris Rodriguez Jr. (WAS),4,26,150,5.8,55,2.1,95,3.7,1,0,0,7,3,1,0,0,0,25,0,0,0,0
75,D'Onta Foreman (CLE),8,46,155,3.4,101,2.2,54,1.2,0,2,-2,0,2,1,0,0,0,25,5,5,0,13
76,D'Ernest Johnson (JAC),10,30,117,3.9,59,2.0,58,1.9,0,3,-3,0,3,0,0,0,0,13,8,13,3,34
77,Cordarrelle Patterson (PIT),8,24,120,5.0,37,1.5,83,3.5,3,2,-5,0,6,0,0,0,0,14,9,11,1,14
78,JaMycal Hasty (NE),12,20,69,3.5,38,1.9,31,1.6,0,2,-7,0,1,0,0,0,0,15,10,12,1,21
79,Audric Estime (DEN),9,41,191,4.7,89,2.2,102,2.5,2,3,-5,0,5,1,0,0,0,21,3,3,0,4
80,Blake Corum (LAR),10,37,148,4.0,93,2.5,55,1.5,0,3,-3,0,3,0,0,0,0,12,4,4,0,8
81,Kyle Juszczyk (SF),12,4,20,5.0,5,1.3,15,3.8,1,1,-1,6,1,0,0,0,0,14,14,21,1,14
82,Kimani Vidal (LAC),5,22,64,2.9,29,1.3,35,1.6,1,3,-6,0,1,0,0,0,0,16,3,3,0,2
83,Dameon Pierce (HOU),7,15,100,6.7,22,1.5,78,5.2,3,0,0,54,2,1,1,1,1,54,2,2,0,2
84,Chris Brooks (GB),8,20,92,4.6,26,1.3,66,3.3,3,1,-1,0,2,0,0,0,0,18,9,10,3,25
85,Pierre Strong Jr. (CLE),9,19,69,3.6,41,2.2,28,1.5,0,1,-5,0,1,0,0,0,0,14,7,13,1,18
86,Carson Steele (KC),12,48,158,3.3,75,1.6,83,1.7,2,4,-16,0,0,0,0,0,0,9,5,9,1,8
87,Hunter Luepke (DAL),11,9,23,2.6,8,0.9,15,1.7,0,0,0,0,0,0,0,0,0,6,10,12,0,17
88,Alec Ingold (MIA),10,9,13,1.4,1,0.1,12,1.3,0,3,-4,3,0,0,0,0,0,6,9,10,1,8
89,Isaiah Davis (NYJ),9,5,22,4.4,10,2.0,12,2.4,0,1,-1,0,1,0,0,0,0,12,4,4,1,6
90,Michael Burton (DEN),13,6,5,0.8,2,0.3,3,0.5,0,1,-1,1,0,0,0,0,0,3,7,7,1,8
91,Sincere McCormick (LV),2,17,97,5.7,60,3.5,37,2.2,2,3,-5,0,4,0,0,0,0,19,2,2,0,3
92,Khalil Herbert (CIN),8,9,30,3.3,17,1.9,13,1.4,0,0,0,2,1,0,0,0,0,14,2,2,0,1
93,Julius Chestnut (TEN),10,17,74,4.4,36,2.1,38,2.2,2,2,-2,0,1,0,0,0,0,12,2,2,0,3
94,Jordan Mims (NO),7,14,42,3.0,25,1.8,17,1.2,0,1,-1,0,0,0,0,0,0,9,4,7,1,8
95,DeeJay Dallas (ARI),11,4,12,3.0,2,0.5,10,2.5,0,0,0,0,0,0,0,0,0,6,0,0,0,0
96,Hassan Haskins (LAC),10,14,26,1.9,8,0.6,18,1.3,0,0,0,1,0,0,0,0,0,5,0,0,0,0
97,Tyler Badie (DEN),3,11,86,7.8,22,2.0,64,5.8,1,1,-3,0,2,1,1,1,0,43,3,3,1,0
98,C.J. Ham (MIN),12,2,10,5.0,8,4.0,2,1.0,0,0,0,2,0,0,0,0,0,8,2,3,0,0
99,Eric Gray (NYG),12,13,25,1.9,14,1.1,11,0.8,0,1,-1,0,0,0,0,0,0,6,8,9,2,17
100,Kendre Miller (NO),3,9,52,5.8,16,1.8,36,4.0,2,0,0,0,2,0,0,0,0,16,2,3,0,0
101,Jeff Wilson Jr. (MIA),5,8,40,5.0,17,2.1,23,2.9,0,0,0,0,2,0,0,0,0,14,2,2,0,3
102,Deuce Vaughn (DAL),5,11,33,3.0,17,1.5,16,1.5,0,0,0,0,0,0,0,0,0,7,3,5,0,6
103,Craig Reynolds (DET),9,12,51,4.3,38,3.2,13,1.1,1,1,-2,0,1,0,0,0,0,19,0,0,0,0
104,Ronnie Rivers (LAR),5,10,51,5.1,35,3.5,16,1.6,0,2,-2,0,2,0,0,0,0,12,1,1,0,0
105,Will Shipley (PHI),11,20,50,2.5,24,1.2,26,1.3,0,1,-4,0,0,0,0,0,0,9,0,0,0,0
106,Jonathon Brooks (CAR),2,8,25,3.1,11,1.4,14,1.8,1,0,0,0,0,0,0,0,0,9,3,3,2,21
107,J.J. Taylor (HOU),4,10,44,4.4,34,3.4,10,1.0,0,0,0,0,0,0,0,0,0,9,2,3,0,0
108,Patrick Taylor Jr. (SF),4,7,25,3.6,14,2.0,11,1.6,0,0,0,0,0,0,0,0,0,6,1,1,0,0
109,Jase McClellan (ATL),2,13,32,2.5,13,1.0,19,1.5,0,2,-9,0,0,0,0,0,0,8,0,0,0,0
110,Sione Vaki (DET),9,6,14,2.3,8,1.3,6,1.0,0,2,-3,0,0,0,0,0,0,7,1,1,0,0
111,Dalvin Cook (DAL),2,8,20,2.5,12,1.5,8,1.0,0,0,0,0,0,0,0,0,0,4,1,1,0,3
112,Jonathan Ward (PIT),4,5,22,4.4,12,2.4,10,2.0,1,0,0,0,0,0,0,0,0,7,0,0,0,0
113,MarShawn Lloyd (GB),1,6,15,2.5,12,2.0,3,0.5,0,0,0,0,0,0,0,0,0,5,1,1,0,2
114,Aaron Shampklin (PIT),3,6,17,2.8,8,1.3,9,1.5,0,1,-2,0,0,0,0,0,0,5,0,0,0,0
115,Kenny McIntosh (SEA),7,4,16,4.0,10,2.5,6,1.5,0,0,0,0,0,0,0,0,0,6,0,0,0,0
116,Travis Homer (CHI),7,3,16,5.3,12,4.0,4,1.3,0,0,0,0,0,0,0,0,0,6,0,0,0,0
117,Terrell Jennings (NE),1,5,13,2.6,6,1.2,7,1.4,0,1,-1,0,0,0,0,0,0,5,0,0,0,0
118,Tyreik McAllister (LV),2,2,11,5.5,9,4.5,2,1.0,0,0,0,0,1,0,0,0,0,10,0,0,0,0
119,Myles Gaskin (FA),4,3,-1,-0.3,-2,-0.7,1,0.3,0,1,-3,0,0,0,0,0,0,2,1,1,0,0
120,Mike Boone (CAR),1,4,7,1.8,2,0.5,5,1.3,1,0,0,0,0,0,0,0,0,5,0,0,0,0
121,British Brooks (HOU),3,1,2,2.0,1,1.0,1,1.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
122,Dylan Laube (LV),3,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
