Rank	Player	G	REC	YDS	Y/R	YBC	YBC/R	AIR	AIR/R	YAC	YAC/R	YACON	YACON/R	BRKTKL	TGT	% TM	CATCHABLE	DROP	RZ TGT	10+ YDS	20+ YDS	30+ YDS	40+ YDS	50+ YDS	LNG
121	Jordan Whittington (LAR)	10	18	201	11.2	75	4.2	89	4.9	126	7.0	24	1.3	1	23	5.8%	18	0	1	8	2	1	0	0	31
122	Cedrick Wilson Jr. (NO)	10	12	141	11.8	84	7.0	129	10.8	57	4.8	18	1.5	0	15	4.2%	14	2	1	6	1	0	0	0	25
123	Bub Means (NO)	7	9	118	13.1	98	10.9	170	18.9	20	2.2	14	1.6	0	15	4.2%	10	1	1	7	1	1	0	0	36
124	Ashton Dulin (IND)	12	2	67	33.5	24	12.0	154	77.0	43	21.5	8	4.0	1	8	2.2%	3	1	1	2	1	1	1	1	54
125	Luke McCaffrey (WAS)	13	16	155	9.7	72	4.5	133	8.3	83	5.2	24	1.5	1	20	5.4%	17	1	3	5	2	1	0	0	30
126	Jalen Brooks (DAL)	11	10	148	14.8	111	11.1	375	37.5	37	3.7	15	1.5	1	28	6.0%	11	1	3	8	2	1	1	0	41
127	Ryan Miller (TB)	6	7	84	12.0	36	5.1	115	16.4	48	6.9	6	0.9	0	13	3.2%	8	1	1	3	1	1	0	0	39
128	Trent Sherfield Sr. (MIN)	12	7	77	11.0	39	5.6	67	9.6	38	5.4	1	0.1	0	9	2.7%	7	0	1	4	0	0	0	0	17
129	Jahan Dotson (PHI)	12	11	117	10.6	69	6.3	184	16.7	48	4.4	12	1.1	0	19	6.7%	11	0	1	3	2	1	0	0	36
130	Malik Washington (MIA)	9	10	54	5.4	18	1.8	47	4.7	36	3.6	4	0.4	0	15	3.8%	11	1	2	1	0	0	0	0	17
131	K.J. Osborn (NE)	7	7	57	8.1	41	5.9	107	15.3	16	2.3	2	0.3	0	18	4.6%	8	1	3	1	1	0	0	0	22
132	Jonathan Mingo (DAL)	12	14	131	9.4	64	4.6	353	25.2	67	4.8	14	1.0	1	36	9.5%	16	2	1	4	2	1	0	0	35
133	Robert Woods (HOU)	11	11	112	10.2	67	6.1	148	13.5	45	4.1	7	0.6	0	17	4.0%	12	1	1	5	1	1	0	0	32
134	Bo Melton (GB)	12	5	73	14.6	67	13.4	242	48.4	6	1.2	4	0.8	0	12	3.6%	5	0	0	3	1	0	0	0	28
135	Jermaine Burton (CIN)	10	4	107	26.8	85	21.3	296	74.0	22	5.5	13	3.3	0	14	3.3%	5	1	4	3	2	2	2	0	47
